id,h3Resolution,centerLatitude,centerLongitude,parentCell,locatedInAdminArea,adminAmbiguous,adminPurity,adminPoiMix,adminEvidence,adminAssignMethod,township,townshipId,townshipAdcode,townshipSource,townshipRegistryStatus,townshipLagRisk,townshipCandidate,poiSourceMix,dominantZone,zoneNameSeen,zoneConfidence,zoneAssignMethod,zoneEvidence,zoneAliasesSeen,landmarkNames,clusterLandmarks,poiCount,categoryMix,dominantCategory,nightActive,collectionCoverage,poiCountAt,sourceId,batchId,externalIds,dataQuality,contentHash,createdAt,updatedAt,lastSeenAt,referencedBy,archivedAt,archiveReason
87400c0eaffffff,7,26.554916,106.6455,,admin_520103,是,0.571,"[""云岩区:4"",""花溪区:3""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 57%，跨界，不得用于分区统计,边界匹配,,,,,,,,"[""amap:39"",""ctrip:2""]",,,,未判定,,,,,41,"[""餐饮:25"",""交通:10"",""景点:4"",""住宿:2""]",餐饮,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c0eaffffff""]",needs_review,910f929f05d79e98fd601e4087a6130b833fda4deb3bef52a13e7a321e843759,2026-09-16,2026-09-16,2026-09-16,7,,
87400c0f2ffffff,7,26.590479,106.750311,,admin_520103,是,0.857,"[""云岩区:6"",""南明区:1""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 86%，跨界，不得用于分区统计,边界匹配,,,,,,,,"[""amap:470"",""ctrip:25"",""transport:24""]",,,,未判定,,,,,519,"[""餐饮:448"",""交通:38"",""住宿:25"",""景点:8""]",餐饮,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c0f2ffffff""]",needs_review,407ad76a8df043439d36980e8f1afbf4b218e709bb945b77d34dbb1a05e85ff1,2026-09-16,2026-09-16,2026-09-16,7,,
87400c0ceffffff,7,26.592174,106.635756,,admin_520103,是,0.571,"[""云岩区:4"",""观山湖区:3""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 57%，跨界，不得用于分区统计,边界匹配,,,,,,,,"[""amap:327"",""ctrip:53"",""transport:40""]",,,,未判定,,,,,420,"[""餐饮:312"",""住宿:53"",""交通:40"",""景点:15""]",餐饮,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c0ceffffff""]",needs_review,cd9a584fa08e2efa75bff519e5251c232549dda521a97f6213b3126c1c4c0b58,2026-09-16,2026-09-16,2026-09-16,7,,
87400c721ffffff,7,26.664948,106.730857,,admin_520112,是,0.571,"[""乌当区:4"",""云岩区:3""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 57%，跨界，不得用于分区统计,边界匹配,,,,,,,,"[""transport:10"",""amap:7"",""ctrip:2""]",,,,未判定,,,,,19,"[""交通:10"",""餐饮:7"",""住宿:2""]",交通,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c721ffffff""]",needs_review,15aa2ca366b29791394dfae817b8cbcee729728aaa2c1345ef842e554cf9a157,2026-09-16,2026-09-16,2026-09-16,7,,
87400c0d0ffffff,7,26.623968,106.716212,,admin_520103,否,1,"[""云岩区:7""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 100%,边界匹配,,,,,,,,"[""amap:62"",""ctrip:6""]",,,,未判定,,,,,68,"[""餐饮:37"",""交通:13"",""景点:12"",""住宿:6""]",餐饮,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c0d0ffffff""]",needs_review,14d3d6f5f0ad0105534ef4eee96407a14ae8fe371286c947b4ff376008a81981,2026-09-16,2026-09-16,2026-09-16,7,,
87400c0f3ffffff,7,26.586725,106.725942,,admin_520103,是,0.857,"[""云岩区:6"",""南明区:1""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 86%，跨界，不得用于分区统计,边界匹配,,,,,,,,"[""amap:930"",""ctrip:116"",""transport:14""]",,,,未判定,,,,,1060,"[""餐饮:800"",""住宿:116"",""交通:75"",""景点:69""]",餐饮,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c0f3ffffff""]",needs_review,13ab5b896c3e223d6fa8778e043170885c0d579423a9d9ccf75fcfdb33649a08,2026-09-16,2026-09-16,2026-09-16,7,,
87400c0c5ffffff,7,26.558689,106.669877,,admin_520102,是,0.714,"[""南明区:5"",""云岩区:2""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 71%，跨界，不得用于分区统计,边界匹配,,,,,,,,"[""amap:577"",""ctrip:199"",""transport:17""]",,,,未判定,,,,,793,"[""餐饮:540"",""住宿:199"",""交通:36"",""景点:18""]",餐饮,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c0c5ffffff""]",needs_review,c0361f514fc12bc8c98563cf213425d21068a3c2b340b0f5786b703d3dc1c7d5,2026-09-16,2026-09-16,2026-09-16,7,,
87400c0d6ffffff,7,26.62772,106.740586,,admin_520112,是,0.714,"[""乌当区:5"",""云岩区:2""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 71%，跨界，不得用于分区统计,边界匹配,,,,,,,,"[""amap:118"",""transport:25"",""ctrip:5""]",,,,未判定,,,,,148,"[""餐饮:89"",""交通:46"",""景点:8"",""住宿:5""]",餐饮,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c0d6ffffff""]",needs_review,78d74bc2e969f66d4cbddf79828cfd984aa8b85b1fbe74f2b38b6d8f74bcbc0b,2026-09-16,2026-09-16,2026-09-16,7,,
87400c0c0ffffff,7,26.579202,106.677196,,admin_520103,是,0.857,"[""云岩区:6"",""南明区:1""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 86%，跨界，不得用于分区统计,边界匹配,,,,,,,,"[""amap:321"",""transport:35"",""ctrip:21""]",,,,未判定,,,,,377,"[""餐饮:299"",""交通:48"",""住宿:21"",""景点:8"",""公共服务:1""]",餐饮,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c0c0ffffff""]",needs_review,4814600803ff0fd2fd0f4924ed3b7e7c9627598605d03336d6662e50e0847780,2026-09-16,2026-09-16,2026-09-16,7,,
87400c0c2ffffff,7,26.599709,106.684516,,admin_520103,是,0.857,"[""云岩区:6"",""观山湖区:1""]",R7 父格，含 7 个 R8 子格；按子格行政区众数归属，纯度 86%，跨界，不得用于分区统计,边界匹配,,,,,,,,"[""amap:87"",""ctrip:12"",""transport:1"",""kg:1""]",,,,未判定,,,,,101,"[""景点:46"",""餐饮:38"",""住宿:12"",""交通:4"",""公共服务:1""]",景点,未知,充分,2026-09-16,src_grid_derive,grid-recompute-ctrip-hotel-20260916,"[""h3:87400c0c2ffffff""]",needs_review,3edbf06982d9e0c8b583aec5b7fe9fa79956655c394a710ded61097da1cab9eb,2026-09-16,2026-09-16,2026-09-16,7,,
